Participant,List,Item,Verb,Whether,KnowledgeState,Score,Factivity,Slifting,Counts,Freq,Frequency
1,25,1,accept,-0.70823666,knowledge,2,0.8,1.820699945,32429,5.69E-05,-4.245210743
1,25,2,assume,-0.976055462,knowledge,2,0.5125,6.147983729,20782,3.64E-05,-4.438456959
1,25,3,conjecture,-1.927927768,knowledge,3,0.5125,0.920653314,882,1.55E-06,-5.810675715
1,25,4,dismay,-3.298949504,knowledge,6,0.9125,-1.504414911,2356,4.13E-06,-5.383969014
1,25,5,gather,-3.336364757,noknowledge,3,0.6875,4.361272849,13303,2.33E-05,-4.632194709
1,25,6,loathe,-5.556896937,noknowledge,1,0.9,-2.936534535,639,1.12E-06,-5.950643442
1,25,7,puzzle,-3.846023248,noknowledge,5,0.825,-1.240907979,421,7.38E-07,-6.131862204
1,25,8,suggest,-2.963851946,noknowledge,2,0.4375,0.892207117,40988,7.19E-05,-4.143487572
2,25,1,accept,-0.70823666,knowledge,3,0.8,1.820699945,32429,5.69E-05,-4.245210743
2,25,2,assume,-0.976055462,knowledge,3,0.5125,6.147983729,20782,3.64E-05,-4.438456959
2,25,3,conjecture,-1.927927768,knowledge,1,0.5125,0.920653314,882,1.55E-06,-5.810675715
2,25,4,dismay,-3.298949504,knowledge,4,0.9125,-1.504414911,2356,4.13E-06,-5.383969014
2,25,5,gather,-3.336364757,noknowledge,2,0.6875,4.361272849,13303,2.33E-05,-4.632194709
2,25,6,loathe,-5.556896937,noknowledge,6,0.9,-2.936534535,639,1.12E-06,-5.950643442
2,25,7,puzzle,-3.846023248,noknowledge,4,0.825,-1.240907979,421,7.38E-07,-6.131862204
2,25,8,suggest,-2.963851946,noknowledge,2,0.4375,0.892207117,40988,7.19E-05,-4.143487572
3,25,1,accept,-0.70823666,knowledge,5,0.8,1.820699945,32429,5.69E-05,-4.245210743
3,25,2,assume,-0.976055462,knowledge,5,0.5125,6.147983729,20782,3.64E-05,-4.438456959
3,25,3,conjecture,-1.927927768,knowledge,2,0.5125,0.920653314,882,1.55E-06,-5.810675715
3,25,4,dismay,-3.298949504,knowledge,6,0.9125,-1.504414911,2356,4.13E-06,-5.383969014
3,25,5,gather,-3.336364757,noknowledge,4,0.6875,4.361272849,13303,2.33E-05,-4.632194709
3,25,6,loathe,-5.556896937,noknowledge,4,0.9,-2.936534535,639,1.12E-06,-5.950643442
3,25,7,puzzle,-3.846023248,noknowledge,4,0.825,-1.240907979,421,7.38E-07,-6.131862204
3,25,8,suggest,-2.963851946,noknowledge,5,0.4375,0.892207117,40988,7.19E-05,-4.143487572
4,25,1,accept,-0.70823666,knowledge,5,0.8,1.820699945,32429,5.69E-05,-4.245210743
4,25,2,assume,-0.976055462,knowledge,6,0.5125,6.147983729,20782,3.64E-05,-4.438456959
4,25,3,conjecture,-1.927927768,knowledge,3,0.5125,0.920653314,882,1.55E-06,-5.810675715
4,25,4,dismay,-3.298949504,knowledge,6,0.9125,-1.504414911,2356,4.13E-06,-5.383969014
4,25,5,gather,-3.336364757,noknowledge,5,0.6875,4.361272849,13303,2.33E-05,-4.632194709
4,25,6,loathe,-5.556896937,noknowledge,4,0.9,-2.936534535,639,1.12E-06,-5.950643442
4,25,7,puzzle,-3.846023248,noknowledge,6,0.825,-1.240907979,421,7.38E-07,-6.131862204
4,25,8,suggest,-2.963851946,noknowledge,7,0.4375,0.892207117,40988,7.19E-05,-4.143487572
5,25,1,accept,-0.70823666,knowledge,5,0.8,1.820699945,32429,5.69E-05,-4.245210743
5,25,2,assume,-0.976055462,knowledge,6,0.5125,6.147983729,20782,3.64E-05,-4.438456959
5,25,3,conjecture,-1.927927768,knowledge,2,0.5125,0.920653314,882,1.55E-06,-5.810675715
5,25,4,dismay,-3.298949504,knowledge,6,0.9125,-1.504414911,2356,4.13E-06,-5.383969014
5,25,5,gather,-3.336364757,noknowledge,6,0.6875,4.361272849,13303,2.33E-05,-4.632194709
5,25,6,loathe,-5.556896937,noknowledge,3,0.9,-2.936534535,639,1.12E-06,-5.950643442
5,25,7,puzzle,-3.846023248,noknowledge,5,0.825,-1.240907979,421,7.38E-07,-6.131862204
5,25,8,suggest,-2.963851946,noknowledge,3,0.4375,0.892207117,40988,7.19E-05,-4.143487572
6,25,1,accept,-0.70823666,noknowledge,3,0.8,1.820699945,32429,5.69E-05,-4.245210743
6,25,2,assume,-0.976055462,noknowledge,1,0.5125,6.147983729,20782,3.64E-05,-4.438456959
6,25,3,conjecture,-1.927927768,noknowledge,2,0.5125,0.920653314,882,1.55E-06,-5.810675715
6,25,4,dismay,-3.298949504,noknowledge,5,0.9125,-1.504414911,2356,4.13E-06,-5.383969014
6,25,5,gather,-3.336364757,knowledge,6,0.6875,4.361272849,13303,2.33E-05,-4.632194709
6,25,6,loathe,-5.556896937,knowledge,4,0.9,-2.936534535,639,1.12E-06,-5.950643442
6,25,7,puzzle,-3.846023248,knowledge,6,0.825,-1.240907979,421,7.38E-07,-6.131862204
6,25,8,suggest,-2.963851946,knowledge,6,0.4375,0.892207117,40988,7.19E-05,-4.143487572
7,25,1,accept,-0.70823666,noknowledge,3,0.8,1.820699945,32429,5.69E-05,-4.245210743
7,25,2,assume,-0.976055462,noknowledge,6,0.5125,6.147983729,20782,3.64E-05,-4.438456959
7,25,3,conjecture,-1.927927768,noknowledge,5,0.5125,0.920653314,882,1.55E-06,-5.810675715
7,25,4,dismay,-3.298949504,noknowledge,3,0.9125,-1.504414911,2356,4.13E-06,-5.383969014
7,25,5,gather,-3.336364757,knowledge,5,0.6875,4.361272849,13303,2.33E-05,-4.632194709
7,25,6,loathe,-5.556896937,knowledge,6,0.9,-2.936534535,639,1.12E-06,-5.950643442
7,25,7,puzzle,-3.846023248,knowledge,3,0.825,-1.240907979,421,7.38E-07,-6.131862204
7,25,8,suggest,-2.963851946,knowledge,4,0.4375,0.892207117,40988,7.19E-05,-4.143487572
8,25,1,accept,-0.70823666,noknowledge,6,0.8,1.820699945,32429,5.69E-05,-4.245210743
8,25,2,assume,-0.976055462,noknowledge,7,0.5125,6.147983729,20782,3.64E-05,-4.438456959
8,25,3,conjecture,-1.927927768,noknowledge,6,0.5125,0.920653314,882,1.55E-06,-5.810675715
8,25,4,dismay,-3.298949504,noknowledge,7,0.9125,-1.504414911,2356,4.13E-06,-5.383969014
8,25,5,gather,-3.336364757,knowledge,7,0.6875,4.361272849,13303,2.33E-05,-4.632194709
8,25,6,loathe,-5.556896937,knowledge,7,0.9,-2.936534535,639,1.12E-06,-5.950643442
8,25,7,puzzle,-3.846023248,knowledge,6,0.825,-1.240907979,421,7.38E-07,-6.131862204
8,25,8,suggest,-2.963851946,knowledge,4,0.4375,0.892207117,40988,7.19E-05,-4.143487572
9,25,1,accept,-0.70823666,noknowledge,NA,0.8,1.820699945,32429,5.69E-05,-4.245210743
9,25,2,assume,-0.976055462,noknowledge,NA,0.5125,6.147983729,20782,3.64E-05,-4.438456959
9,25,3,conjecture,-1.927927768,noknowledge,NA,0.5125,0.920653314,882,1.55E-06,-5.810675715
9,25,4,dismay,-3.298949504,noknowledge,NA,0.9125,-1.504414911,2356,4.13E-06,-5.383969014
9,25,5,gather,-3.336364757,knowledge,NA,0.6875,4.361272849,13303,2.33E-05,-4.632194709
9,25,6,loathe,-5.556896937,knowledge,NA,0.9,-2.936534535,639,1.12E-06,-5.950643442
9,25,7,puzzle,-3.846023248,knowledge,NA,0.825,-1.240907979,421,7.38E-07,-6.131862204
9,25,8,suggest,-2.963851946,knowledge,NA,0.4375,0.892207117,40988,7.19E-05,-4.143487572
10,25,1,accept,-0.70823666,noknowledge,2,0.8,1.820699945,32429,5.69E-05,-4.245210743
10,25,2,assume,-0.976055462,noknowledge,7,0.5125,6.147983729,20782,3.64E-05,-4.438456959
10,25,3,conjecture,-1.927927768,noknowledge,4,0.5125,0.920653314,882,1.55E-06,-5.810675715
10,25,4,dismay,-3.298949504,noknowledge,7,0.9125,-1.504414911,2356,4.13E-06,-5.383969014
10,25,5,gather,-3.336364757,knowledge,6,0.6875,4.361272849,13303,2.33E-05,-4.632194709
10,25,6,loathe,-5.556896937,knowledge,5,0.9,-2.936534535,639,1.12E-06,-5.950643442
10,25,7,puzzle,-3.846023248,knowledge,3,0.825,-1.240907979,421,7.38E-07,-6.131862204
10,25,8,suggest,-2.963851946,knowledge,3,0.4375,0.892207117,40988,7.19E-05,-4.143487572
11,0,1,acknowledge,-0.592301751,knowledge,1,0.775,1.781693356,11302,1.98E-05,-4.702988997
11,0,2,assure,1.401257308,knowledge,1,0.6125,2.045354722,6335,1.11E-05,-4.954397681
11,0,3,console,-1.229713071,knowledge,1,0.825,-0.396296373,3764,6.60E-06,-5.180494685
11,0,4,dissatisfy,-2.738105398,knowledge,1,0.9,-6.326872507,3,5.26E-09,-8.279023045
11,0,5,gauge,-0.208237407,noknowledge,2,0.675,2.944558956,4547,7.97E-06,-5.098419346
11,0,6,love,-5.95801932,noknowledge,3,0.975,-1.053478086,98493,0.000172688,-3.762738934
11,0,7,read,-2.218374077,noknowledge,5,0.75,1.032835544,118274,0.00020737,-3.683255015
11,0,8,suppose,-3.721278362,noknowledge,6,0.5,3.604196202,18201,3.19E-05,-4.49604905
12,0,1,acknowledge,-0.592301751,knowledge,1,0.775,1.781693356,11302,1.98E-05,-4.702988997
12,0,2,assure,1.401257308,knowledge,4,0.6125,2.045354722,6335,1.11E-05,-4.954397681
12,0,3,console,-1.229713071,knowledge,1,0.825,-0.396296373,3764,6.60E-06,-5.180494685
12,0,4,dissatisfy,-2.738105398,knowledge,1,0.9,-6.326872507,3,5.26E-09,-8.279023045
12,0,5,gauge,-0.208237407,noknowledge,1,0.675,2.944558956,4547,7.97E-06,-5.098419346
12,0,6,love,-5.95801932,noknowledge,3,0.975,-1.053478086,98493,0.000172688,-3.762738934
12,0,7,read,-2.218374077,noknowledge,6,0.75,1.032835544,118274,0.00020737,-3.683255015
12,0,8,suppose,-3.721278362,noknowledge,6,0.5,3.604196202,18201,3.19E-05,-4.49604905
13,0,1,acknowledge,-0.592301751,knowledge,1,0.775,1.781693356,11302,1.98E-05,-4.702988997
13,0,2,assure,1.401257308,knowledge,6,0.6125,2.045354722,6335,1.11E-05,-4.954397681
13,0,3,console,-1.229713071,knowledge,3,0.825,-0.396296373,3764,6.60E-06,-5.180494685
13,0,4,dissatisfy,-2.738105398,knowledge,5,0.9,-6.326872507,3,5.26E-09,-8.279023045
13,0,5,gauge,-0.208237407,noknowledge,6,0.675,2.944558956,4547,7.97E-06,-5.098419346
13,0,6,love,-5.95801932,noknowledge,7,0.975,-1.053478086,98493,0.000172688,-3.762738934
13,0,7,read,-2.218374077,noknowledge,7,0.75,1.032835544,118274,0.00020737,-3.683255015
13,0,8,suppose,-3.721278362,noknowledge,7,0.5,3.604196202,18201,3.19E-05,-4.49604905
14,0,1,acknowledge,-0.592301751,knowledge,7,0.775,1.781693356,11302,1.98E-05,-4.702988997
14,0,2,assure,1.401257308,knowledge,4,0.6125,2.045354722,6335,1.11E-05,-4.954397681
14,0,3,console,-1.229713071,knowledge,7,0.825,-0.396296373,3764,6.60E-06,-5.180494685
14,0,4,dissatisfy,-2.738105398,knowledge,1,0.9,-6.326872507,3,5.26E-09,-8.279023045
14,0,5,gauge,-0.208237407,noknowledge,7,0.675,2.944558956,4547,7.97E-06,-5.098419346
14,0,6,love,-5.95801932,noknowledge,4,0.975,-1.053478086,98493,0.000172688,-3.762738934
14,0,7,read,-2.218374077,noknowledge,1,0.75,1.032835544,118274,0.00020737,-3.683255015
14,0,8,suppose,-3.721278362,noknowledge,5,0.5,3.604196202,18201,3.19E-05,-4.49604905
15,0,1,acknowledge,-0.592301751,knowledge,3,0.775,1.781693356,11302,1.98E-05,-4.702988997
15,0,2,assure,1.401257308,knowledge,2,0.6125,2.045354722,6335,1.11E-05,-4.954397681
15,0,3,console,-1.229713071,knowledge,1,0.825,-0.396296373,3764,6.60E-06,-5.180494685
15,0,4,dissatisfy,-2.738105398,knowledge,3,0.9,-6.326872507,3,5.26E-09,-8.279023045
15,0,5,gauge,-0.208237407,noknowledge,4,0.675,2.944558956,4547,7.97E-06,-5.098419346
15,0,6,love,-5.95801932,noknowledge,4,0.975,-1.053478086,98493,0.000172688,-3.762738934
15,0,7,read,-2.218374077,noknowledge,1,0.75,1.032835544,118274,0.00020737,-3.683255015
15,0,8,suppose,-3.721278362,noknowledge,6,0.5,3.604196202,18201,3.19E-05,-4.49604905
16,0,1,acknowledge,-0.592301751,noknowledge,3,0.775,1.781693356,11302,1.98E-05,-4.702988997
16,0,2,assure,1.401257308,noknowledge,3,0.6125,2.045354722,6335,1.11E-05,-4.954397681
16,0,3,console,-1.229713071,noknowledge,2,0.825,-0.396296373,3764,6.60E-06,-5.180494685
16,0,4,dissatisfy,-2.738105398,noknowledge,3,0.9,-6.326872507,3,5.26E-09,-8.279023045
16,0,5,gauge,-0.208237407,knowledge,2,0.675,2.944558956,4547,7.97E-06,-5.098419346
16,0,6,love,-5.95801932,knowledge,7,0.975,-1.053478086,98493,0.000172688,-3.762738934
16,0,7,read,-2.218374077,knowledge,7,0.75,1.032835544,118274,0.00020737,-3.683255015
16,0,8,suppose,-3.721278362,knowledge,7,0.5,3.604196202,18201,3.19E-05,-4.49604905
17,0,1,acknowledge,-0.592301751,noknowledge,3,0.775,1.781693356,11302,1.98E-05,-4.702988997
17,0,2,assure,1.401257308,noknowledge,7,0.6125,2.045354722,6335,1.11E-05,-4.954397681
17,0,3,console,-1.229713071,noknowledge,2,0.825,-0.396296373,3764,6.60E-06,-5.180494685
17,0,4,dissatisfy,-2.738105398,noknowledge,2,0.9,-6.326872507,3,5.26E-09,-8.279023045
17,0,5,gauge,-0.208237407,knowledge,4,0.675,2.944558956,4547,7.97E-06,-5.098419346
17,0,6,love,-5.95801932,knowledge,2,0.975,-1.053478086,98493,0.000172688,-3.762738934
17,0,7,read,-2.218374077,knowledge,7,0.75,1.032835544,118274,0.00020737,-3.683255015
17,0,8,suppose,-3.721278362,knowledge,6,0.5,3.604196202,18201,3.19E-05,-4.49604905
18,0,1,acknowledge,-0.592301751,noknowledge,4,0.775,1.781693356,11302,1.98E-05,-4.702988997
18,0,2,assure,1.401257308,noknowledge,7,0.6125,2.045354722,6335,1.11E-05,-4.954397681
18,0,3,console,-1.229713071,noknowledge,1,0.825,-0.396296373,3764,6.60E-06,-5.180494685
18,0,4,dissatisfy,-2.738105398,noknowledge,2,0.9,-6.326872507,3,5.26E-09,-8.279023045
18,0,5,gauge,-0.208237407,knowledge,4,0.675,2.944558956,4547,7.97E-06,-5.098419346
18,0,6,love,-5.95801932,knowledge,1,0.975,-1.053478086,98493,0.000172688,-3.762738934
18,0,7,read,-2.218374077,knowledge,7,0.75,1.032835544,118274,0.00020737,-3.683255015
18,0,8,suppose,-3.721278362,knowledge,6,0.5,3.604196202,18201,3.19E-05,-4.49604905
19,0,1,acknowledge,-0.592301751,noknowledge,5,0.775,1.781693356,11302,1.98E-05,-4.702988997
19,0,2,assure,1.401257308,noknowledge,5,0.6125,2.045354722,6335,1.11E-05,-4.954397681
19,0,3,console,-1.229713071,noknowledge,5,0.825,-0.396296373,3764,6.60E-06,-5.180494685
19,0,4,dissatisfy,-2.738105398,noknowledge,5,0.9,-6.326872507,3,5.26E-09,-8.279023045
19,0,5,gauge,-0.208237407,knowledge,5,0.675,2.944558956,4547,7.97E-06,-5.098419346
19,0,6,love,-5.95801932,knowledge,5,0.975,-1.053478086,98493,0.000172688,-3.762738934
19,0,7,read,-2.218374077,knowledge,5,0.75,1.032835544,118274,0.00020737,-3.683255015
19,0,8,suppose,-3.721278362,knowledge,5,0.5,3.604196202,18201,3.19E-05,-4.49604905
20,0,1,acknowledge,-0.592301751,noknowledge,6,0.775,1.781693356,11302,1.98E-05,-4.702988997
20,0,2,assure,1.401257308,noknowledge,6,0.6125,2.045354722,6335,1.11E-05,-4.954397681
20,0,3,console,-1.229713071,noknowledge,1,0.825,-0.396296373,3764,6.60E-06,-5.180494685
20,0,4,dissatisfy,-2.738105398,noknowledge,5,0.9,-6.326872507,3,5.26E-09,-8.279023045
20,0,5,gauge,-0.208237407,knowledge,5,0.675,2.944558956,4547,7.97E-06,-5.098419346
20,0,6,love,-5.95801932,knowledge,2,0.975,-1.053478086,98493,0.000172688,-3.762738934
20,0,7,read,-2.218374077,knowledge,7,0.75,1.032835544,118274,0.00020737,-3.683255015
20,0,8,suppose,-3.721278362,knowledge,7,0.5,3.604196202,18201,3.19E-05,-4.49604905
21,1,1,admit,-0.999347038,knowledge,2,0.775,4.180253543,18705,3.28E-05,-4.484186587
21,1,2,astonish,-1.436649963,knowledge,5,0.975,-2.444390443,159,2.79E-07,-6.554747175
